pooling,split,balanced_families,trait,metric,mean,std,ci95,lo,hi,n
mean,family,True,biosafety_level,acc,0.7895480195681254,0.007464536249684857,0.018544432612503863,0.7710035869556215,0.8080924521806292,3
mean,family,True,carbon_utilization,f1,0.4769968286046488,0.004945135547609988,0.012285389186263576,0.4647114394183852,0.4892822177909124,3
mean,family,True,catalase,acc,0.8465277751286825,0.001388877630340347,0.0034504417637395753,0.843077333364943,0.849978216892422,3
mean,family,True,cell_shape,acc,0.40649451812108356,0.01717322826815816,0.04266410714683725,0.3638304109742463,0.44915862526792083,3
mean,family,True,country,acc,0.03187025152146816,0.00573738925354487,0.014253615338603065,0.017616636182865096,0.04612386686007123,3
mean,family,True,cultivation_medium,f1,0.3175479574182021,0.003954176197885478,0.009823511010848102,0.30772444640735397,0.3273714684290502,3
mean,family,True,cytochrome_oxidase,acc,0.8429629604021708,0.003394495109752863,0.008433073899124477,0.8345298865030463,0.8513960343012953,3
mean,family,True,fatty_acid_profile,rmse,0.11664537715997934,0.007288635783699957,0.018107436363995765,0.09853794079598358,0.1347528135239751,3
mean,family,True,gram_stain,acc,0.9308452208836874,0.004492536511508478,0.011160980107826452,0.919684240775861,0.9420062009915138,3
mean,family,True,halophily,acc,0.5345475474993387,0.009553480364318587,0.023734076291539816,0.510813471207799,0.5582816237908785,3
mean,family,True,isolation_source,acc,0.40666666626930237,0.010408320071173668,0.02585778723727149,0.38080887903203087,0.43252445350657387,3
mean,family,True,metabolite_production,f1,0.1025294814822623,0.003819607378363175,0.009489196550859929,0.09304028493140237,0.11201867803312224,3
mean,family,True,motility,acc,0.6409335931142172,0.005319091878084608,0.013214423186305923,0.6277191699279112,0.6541480163005231,3
mean,family,True,oxygen_tolerance,acc,0.5485115051269531,0.025536569174817187,0.06344147451048066,0.48507003061647247,0.6119529796374338,3
mean,family,True,pathogenicity_animal,acc,0.8554531335830688,0.0020779970727408223,0.00516244752459329,0.8502906860584756,0.8606155811076621,3
mean,family,True,pathogenicity_human,acc,0.8231292565663656,0.0071001468009521725,0.017639165982307515,0.8054900905840581,0.8407684225486731,3
mean,family,True,ph_class,acc,0.5464986165364584,0.0059618502473237035,0.014811252361725966,0.5316873641747324,0.5613098688981843,3
